Marqaa gubataa, nama hubataatu arga.
Kana irratti isaan keessaa namoonni akki kuma sadii achitti ol ba'an; garuu namoota Aayi duraa in baqatan.
Warri Aayis isaan rukutanii, karra duraa hamma Shebaariimitti isaan ari'anii, irraan-gadee sanatti isaan keessaa akka nama soddomii ja'aa in ajjeesan; kana irratti onneen saba Israa'el baqee akka bishaanii ta'e.
Yommus Iyaasuun gaddee uffata isaa tarsaasee, sanduuqa kakuu Waaqayyoo duratti hamma galgalaatti adda isaatiin gad gombifame; innii fi maanguddoonni Israa'el gadda irraa kan ka'e awwaara mataatti of facaasan.
Iyaasuun kana irratti, "Maaloo, yaa Waaqayyo gooftaa! Saba kana duruma iyyuu maaliif Yordaanos kana ceesifte? Harka warra Amoorotaatti nu kennitee nu balleessuudhaafii? Maaloo utuu Yordaanos gamatti hafneerra ta'ee!
Yaa Waaqayyo! Erga Israa'el diina isaatti dugda gate maalan jedha ree?
Kana'aanonni, warri biyyicha keessa jiraatan hundinuus kana in dhaga'u, nu naanna'anii lafa irraa haxaa'anii nu balleessu; egaa ati immoo ulfina maqaa kee isa guddaatiif jettee maal goota ree?" jedhe.
Waaqayyo yommus Iyaasuudhaan, "Ka'i! Ati maaliif adda keetiin gad gombifamte?
Warri Israa'el cubbuu hojjetaniiru, kakuu koo isa ani eeguu isaan abboome cabsaniiru, wanta raawwatee balleeffamuun irra jiru keessaa waa fudhataniiru, hataniiru, gowwoomsuudhaafis mi'a isaanii keessa kaa'ataniiru.
Kanaaf Israa'eloonni diinota isaanii dura dhaabachuu hin danda'an; isaan ofuma isaaniitii iyyuu warra balleeffamuun irra jiru waan ta'aniif diinota isaaniitti dugda gatan; ammas isin wanta balleeffamuun irra jiru of gidduudhaa yoo baaftan malee, ani deebi'ee isinii wajjin hin ta'u.
Ka'iitii jara qulleessi! 'Waaqayyo gooftaan Israa'el:- Yaa Israa'el, wanti raawwatee balleeffamuun irra jiru isin gidduu jira, isa hamma of gidduudhaa baaftanitti diinota keessan dura dhaabachuu hin dandeessan, boriif of qulleessaa! isiniin jedhe' jedhii jaratti himi!
Egaa bor akka gosa gosa keessaniitti as dhi'aadhaa! Gosi ana Waaqayyoo duratti dhi'aatu maatii isaa wajjin, maatiin ana duratti dhi'aatu akka hortee hortee isaatti, horteen ana duratti dhi'aatus akka namoota isaatti haa dhi'aatu!
Namni wanti raawwatee balleeffamuun irra jiru sun biraa argame, sababii kakuu koo cabsee, wanta yeellaasisaa kana Israa'el keessatti hojjeteef, inni, wanti inni qabu hundinuus ibiddaan haa gubamu!" jedhe.
Borumtaa isaa ganama Iyaasuun obboroodhaan ka'ee, namoota Israa'el akka gosa gosa isaaniitti yommuu fide, Yihudaan in dhi'aate.
Gosi Yihudaa dhufee, isa keessaa Zaaraatu dhi'aate; hortee Zaaraa keessaa namoonni yommuu dhufan Zabdiin in dhi'aate.
Innis namoota isaa yommuu fide, gosa Yihudaa keessaa Aakaan ilmi Karmii, akaakayyuun Zabdii, abaabayyuun Zaaraa in dhi'aate.
Iyaasuun yommus Aakaaniin, "Ilma ko! Waaqayyo gooftaa Israa'eliif ulfina kenni, isa jajadhus! Amma egaa mee wanta goote kana ana hin dhoksinii anatti himi!" jedhe.
Aakaan deebisee, "Ani dhugumaan Waaqayyo gooftaa Israa'el duratti cubbuu hojjedheera; wanti ani godhes,
uffata miidhagaa biyya Shiinaaritti hojjetamee fi meetii sheeqelii shantama baasu boojuu keessatti argeen hawwee fudhadhe; kunoo, uffatichi godoo koo keessa awwaalamee jira, meetichis immoo isa jalaan jira" jedhe.
Iyaasuun yommus jara tokko in erge; isaanis fiiganii gara godoo isaa yommuu dhaqan, mi'ichi godoo isaa keessa, meetichis gara jalaatiin dhokfamee in argan.
Isaan mi'icha godicha keessaa baasanii Iyaasuudhaaf guutummaa Israa'elootaatti fidanii, fuula Waaqayyoo dura in naqan.
Iyaasuu fi Israa'eloonni hundinuu Aakaan ilma Zaaraa, meeticha, uffaticha, battee warqichaa akkasumas ilmaan isaa, intaloota isaa, qotiyyoota isaa, harroota isaa, hoolota isaa fi godoo isaa wanta inni qabu hundumaa wajjin fuudhanii dachaa Aakoritti in geessan.
Iyaasuun achitti Aakaaniin, "Ati maaliif rakkina kana nutti fidde? Waaqayyo har'a rakkina sitti in fida" jedhe; yommus guutummaan Israa'elis isa, warra kaanis dhagaadhaan rukutanii ibiddaan in guban.
Lafa inni itti gubame irra tuullaa dhagaa baay'ee in tuulan; tuullaan sunis hamma har'aatti iyyuu jira; kana booddee aariin Waaqayyoo inni boba'aan isaan irraa in deebi'e; kanaaf maqaan iddoo sanaa hamma har'aatti iyyuu "Dachaa Aakor" jedhamee in waamama; ["Aakor" jechuun "Rakkina" jechuu dha].
Waaqayyo yommus Iyaasuudhaan, "Ilaa! Ani mootii Aayi, saba isaa, mandara isaa, biyya isaas harka kee keessa buuseeraatii hin sodaatin, hin na'inis; jara lolaa guutummaatti fudhadhuutii ka'ii, Aayitti ol ba'i!
Akkuma Yerikoo fi mootii ishee goote, Aayii fi mootii ishee akkasuma in goota; mandarattii duubaan nama riphee ciisu kaa'i! Horii qe'ee fi waan mandarattii keessaa boojitu garuu ofii keetii fudhadhu!" jedhe.
Kana irratti Iyaasuun jara lolaa hundumaa wajjin Aayitti ol ba'uudhaaf in ka'e; Iyaasuunis namoota jagna jajjaboo kuma soddoma fo'ee halkaniin ergee,
isaan abboomee, "Mandarattii duubaan riphaa ciisaa, hundumti keessan qophaa'aatii taa'aa malee, isheettii baay'ee hin fagaatinaa!
Anii fi namoonni anaa wajjin jiran hundinuu mandarattiitti in dhi'aanna; yommuu isaan akkuma durii nu loluudhaaf nutti ka'an, nuyi isaan duraa in baqanna;
isaan 'Akkuma durii nu jalaa baqatu' jedhanii mandarattii keessaa ba'anii, nu duukaa bu'anii, mandarattii irraa akka fagaatan hamma goonutti nuyi isaan jalaa in baqanna.
Yommus Waaqayyo gooftaan keessan mandarattii harka keessan keessa in buusaatii, isin immoo iddoo riphxanii ciiftanii ka'aatii mandarattii qabadhaa!
Mandarattii yommuu qabattan, ibidda itti naqaatii gubaa! Ilaa! Ani isinitti himeeraa, akkuma Waaqayyo isin abboome godhaa!" jedhe.
Kana booddee Iyaasuun isaan in erge; isaanis iddoo sana dhaqanii, mandara Aayi irraa gara lixa-biiftuutiin mandara Aayii fi Bet'el gidduu riphanii ciisan; Iyaasuun immoo halkan sana namoota warra kaan biratti in hafe.
Iyaasuun ganama obboroodhaan ka'ee jara tarree galche; innii fi jaarsoliin Israa'el jara dura bu'anii, utuma warri biyyasii ilaalanii mandara Aayitti ol in ba'an.
Jarri lolaa warri isaa wajjin turan hundinuu ol ba'anii fuulleedhaan mandarattiitti dhi'aatanii, mandara Aayi sana irraa gara bitaatiin in buufatan; isaanii fi Aayi gidduus dachaa tokkotu ture.
Yommus Iyaasuun akka namoota kuma shanii fuudhee akka isaan riphanii ciisaniif mandarattii irraa gara lixa-biiftuutti mandara Bet'elii fi Aayi gidduu in kaa'e.
Akkasitti humna waraanaa warra buufata keessa jiran mandarattii irraa gara harka bitaatiin, warra riphanii ciisan immoo mandarattii irraa gara lixa biiftuutiin iddoo in qabachiisan; Iyaasuun garuu halkan sana dachaa sanatti in lixe.
Mootiin Aayi kana yommuu arge, innii fi namoonni mandarattii keessaa yeroo dhaaba isaaniitti ariifatanii obboroodhaan ba'anii waraannaan Israa'elin waraanuudhaaf gara dachaa Yordaanos gara fuullee Arabaayitti gad in bu'an; mootichi garuu akka namoonni mandarattii duuba riphanii ciisanii isa eeggatan hin beekne.
Iyaasuunii fi warri Israa'el hundinuu waan mo'aman fakkeessanii gara lafa onaatti isaan duraa in baqatan.
Namoonni mandarattii keessa jiran hundinuus isaan duukaa bu'anii ari'uudhaaf in waamaman; jarris Iyaasuu duukaa bu'anii utuu ari'anii, mandarattii irraa in fagaatan.
Namni Israa'el duukaa bu'ee ari'uudhaaf mandara Aayii fi Bet'el keessaa hin ba'in hin turre; mandarattii eegumsa malee banaatti dhiisanii warra Israa'el duukaa bu'anii ari'an.
Waaqayyo yommus Iyaasuudhaan, "Bodee harka kee keessa jiru gara Aayitti qabi! Ani mandarattii harka kee keessa nan buusa" jedhe; achumaan Iyaasuun bodee harka isaa keessa ture gara Aayitti in qabe.
Warri riphanii ciisan sun ariitiidhaan iddoo isaaniitii ka'anii akkuma Iyaasuun harka isaa diriirseen fiiganii mandarattii lixanii qabatanii, achumaan ibidda itti naqan.
Warri Aayi immoo garagalanii yommuu ilaalan aarri mandarattii ishee gubachaa jirtuu gara waaqaatti utuu ol ka'uu argan; namoonni Israa'el warri gara lafa onaatti isaan duraa baqachaa turan deebi'anii warra isaan ari'aa ture kanatti waan garagalaniif, isaan gara itti baqatan in dhaban.
Iyaasuunii fi warri Israa'el hundinuu jarri riphanii ciisan sun mandarattii akka qabatan, aarri mandarattiis akka ol ka'e yommuu argan, itti garagalanii warra Aayi in rukutan.
Warri mandarattii qabatan sun ishee keessaa gad itti dhufanii, warri kaan immoo karaa duubaa itti dhufanii warra Aayi gidduutti in galfatan; akkasitti namoonni Israa'el isaanitti marsanii namni tokko illee utuu hin hafin yookiis utuu jalaa hin ba'in rukutanii hunduma isaanii in fixan.
Mootii Aayi garuu booji'anii fayyaatti gara Iyaasuutti in fidan.
Warri Israa'el namoota Aayi warra isaan ari'achuu dhaqan hundumaa bakkee lafa onaatti tokko illee utuu hin hafin billaadhaan ajjeesanii erga fixanii booddee, guutummaan Israa'el mandara Aayitti deebi'anii warra mandarattii keessa jiran hundumaas qara billaatiin in fixan.
Gaafa sana dhiiraa fi dubartiin walumatti nama kuma kudha lamatu dhume, isaan kun hundinuu immoo warra Aayi turan.
Iyaasuun warra mandara Aayi jiraatan hundumaa raawwatee hamma balleessutti, harka isaa isa ittiin bodee mandarattiitti qabe hin deebifanne.
Namoonni Israa'el garuu akkuma dubbii isa Waaqayyo Iyaasuu abboomeetti, horii qe'ee fi wanta mandarattii keessaa booji'an duwwaa ofii isaaniitiif in fudhatan.
Akkasitti Iyaasuun mandara Aayi gubee, gubataan ishees bara hundumaaf tuulame akka taa'u in godhe; kanaaf hamma har'aatti iyyuu iddoo onaa taatee hafte.
Ergasii Iyaasuun mootii Aayi mukatti rarraasee, hamma galgalaatti achitti dhiise; akkuma biiftuun lixxeen immoo, "Reeffa isaa muka irraa gad buusaatii balbala karra mandarichaa duratti gataa!" jedhee isaan in abboome; kana irratti isaan tuullaa dhagaa guddisanii reeffa isaa irra tuulan; tuullaan sunis hamma har'aatti iyyuu jira.
Ergasii Iyaasuun tulluu Ebaal gubbaatti iddoo itti Waaqayyo gooftaa isa kan Israa'eliif aarsaa dhi'eessan in ijaare.
Inni akka Museen garbichi Waaqayyoo Israa'eloota abboometti, akka macaafa seera Musee keessatti caafamettis, dhagaa hin soofaminiin, kan namni sibiila itti hin buusiniinis iddoo aarsaa in ijaare; isaan immoo isa irratti qalma gubamuu fi qalma araaraa Waaqayyoof in dhi'eessan.
Yommus inni achi fuula Israa'elootaa duratti, seera Museen caafe irraa dhagoota irratti gara in galche.
Sabni Israa'el guutummaatti, jaarsoliin isaanii fi warri hojii geggeessan abboota firdii isaanii wajjin sanduuqicha garanaa fi garasiin Lewwoota warra luboota warra sanduuqa kakuu Waaqayyoo baatan dura in dhaabatan; warri galaanis warruma biyyaa wajjin akkuma Museen garbichi Waaqayyoo namoota Israa'el akka itti eebbisan duraan isaan abboometti walakkaan gara tulluu Geriiziimitti, walakkaan immoo gara tulluu Ebaalitti garagalee in ijaajje.
Iyaasuun kana booddee dubbii seerichaa hundumaa, waa'ee eebbaa fi abaarsaa, macaafa seerichaa keessatti akkuma caafame hundumaatti in dubbise.
Dubbii Museen abboome hundumaa keessaa, wanti Iyaasuun guutummaa waldaa Israa'elitti, dubartootaa fi ijoollota, warra galaa isaan gidduu jiraatan duratti hin dubbisin hafe hin turre.
Mootonni Yordaanos irraa gara lixa-biiftuu, biyya gaaraa, biyya gaara jalaa, karaa guutummaa qarqara galaana guddichaa immoo hamma Liibaanonitti kan turan, mootonni Heetotaa, Amoorotaa, Kana'aanotaa, Pheriizotaa, Hiiwotaa, Yibusootaa hundinuu waa'ee kanaa yommuu dhaga'an,
Iyaasuudhaa fi Israa'elin loluudhaaf yaada tokkoon walitti in qabaman.
Warri Giibe'on garuu wanta Iyaasuun Yerikoo fi Aayin godhe yommuu dhaga'an,
isaan immoo taa'anii malatanii, warra biyya fagoodhaa ergaman of fakkeessanii, galaa qopheeffatanii, keeshaa dhumaa fi qalqalloo daadhii waynii isa moofaa tatarsa'ee suuphame fuudhanii harroota isaaniitti in fe'atan;
akkasumas kophee moofaa ciccitaa miilla isaaniitti kaa'atanii, uffata moofaas uffatanii in dhaqan; buddeenni isaan galaafatan hundinuu gogaa dhaa fi caccabaa ture.
Yommus isaan Giilgal iddoo buufataatti Iyaasuu bira dhaqanii, isaa fi namoota Israa'eliin, "Egaa nuyi isinitti firoomuudhaaf biyya fagootii dhufneerraatii, kottaa isin kakuudhaan nuu wajjin walii galaa!" jedhan.
Namoonni Israa'el garuu Hiiwotaan, "Tarii isinoo nutti dhi'oo jirtu ta'aa, attamitti nuyi kakuudhaan isinii wajjin walii galla ree?" jedhan.
Isaan immoo Iyaasuudhaan, "Nuyi garboota kee ti" jedhan; Iyaasuunis, "Isin eenyufa'i? Eessaas dhuftan?" jedhee isaan in gaafate.
Isaanis deebisanii, "Nuyi garboonni kee sababii maqaa Waaqayyo gooftaa keetii, wanta inni biyya Gibxiitti hojjete hundumaas dhageenyeef biyya baay'ee fagoodhaa dhufne;
wanta inni mootota Amoorotaa lamaan warra Yordaanos irraa gara ba'a-biiftuu turan, Sihoon mootii Amoorotaa fi Oog mootii Baashaan isa mandara Ashtaarot jiraate godhes hundumaa dhageenyeerra.
Maanguddoonni keenyaa fi warri biyya keenyaa hundinuu, 'Karaadhaaf galaa harkatti qabadhaatii isaanitti adeemaa!' Isaaniinis, 'Nuyi garboota keessan, egaa kottaa isin kakuudhaan nuu wajjin walii galaa' jedhaa!
Buddeena keenya kana isin bira dhufuudhaaf gaafa mana keenyaa kaane ho'aa isaa galaafannee kaane, amma garuu kunoo gogaa dha, caccabaa dhas.
Qalqalloonni daadhii waynii kun yommuu nuyi itti gugguuttannee kaane haaraa turan, amma garuu kunoo, tatarsa'aniiru; uffanni keenyaa fi kopheen keenya kunis karaa baay'ee fagoo adeemuu keenya irraa kan ka'e moofa'aniiru" jedhan.
Yommus namoonni Israa'el galaa jaraa irraa waa fudhatan malee, Waaqayyoon gorsa hin gaafanne.
Iyaasuun immoo isaanii wajjin nagaa buuse, akka isaan hin ajjeefnes in kakateef; angafoonni waldaas akkasuma isaaniif in kakatan.
Isaaniif kakatanii guyyaa sadii booddee, akka isaan olloota isaanii warra isaanitti dhi'oo jiran ta'an in dhaga'an.
Israa'eloonni iddoo buufata isaaniitii ka'anii gaafa guyyaa sadaffaa gara mandaroota jara warra "Giibe'on, Kefiiraa, Beroot, Kiriiyat-Ya'ariim" jedhamanii in dhufan.
Israa'eloonni garuu sababii angafoonni waldaa maqaa Waaqayyo gooftaa Israa'eliin isaaniif kakataniif isaan hin rukunne; kana irratti waldaan guutummaatti angafoota irratti in guungume.
Angafoonni hundinuu garuu guutummaa waldaatiin, "Nuyi maqaa Waaqayyo gooftaa Israa'eliin isaaniif kakanneerra; kanaaf nuyi amma isaan tuquu hin dandeenyu.
Egaa kakuu jara kanaaf kakanne cabsinee dheekkamsi akka nutti hin dhufnetti, kottaa jarri kun haa jiraatan!" jedhan.
Itti fufaniis waldaadhaan, "Isaan haa jiraatan, garuu guutummaa waldaatiif warra qoraan falaxanii fi warra bishaan waraaban haa ta'an!" jedhan; jarris akkuma angafoonni dubbatan guutummaa waldaatiif warra qoraan falaxanii fi warra bishaan waraaban in ta'an.
Yommus Iyaasuun warra Giibe'on sana waamsisee, "Isin as nutti dhi'oo utuma jirtanii, 'Nuyi isinittii baay'ee fagoo dha' jettanii maaliif nu gowwoomsitan ree?
Ammas isin abaaramoo dha, isin keessaa garbicha ta'ee mana Waaqayyo kootiif qoraan falaxuu fi bishaan waraabuu jalaa kan ba'u namni tokko illee hin jiru" jedhe.
Isaan immoo deebisanii Iyaasuudhaan, "Waaqayyo gooftaan kee biyya kana guutummaatti isiniif haa kennuuf warra biyya kana keessa jiraatan hundumaa immoo fuula keessan duraa haa balleessuuf, Musee abboomuun isaa dhuguma akka ta'e garboota keetti waan himameef, guddaa isin sodaannee of oolchuudhaaf kana goone.
Kunoo, nuyi amma harka kee keessa jirra, wanta ija kee duratti gaariidhaa fi qajeelaa sitti fakkaate godhi!" jedhan.
Innis akkuma jedhe harka Israa'elootaa isaan in oolche; Israa'eloonnis isaan hin ajjeefne.
Gaafas Iyaasuun jara sana waldaadhaaf, lafa Waaqayyo fo'atutti immoo iddoo aarsaaf qoraan falaxxuu fi bishaan waraabduu isaan godhe; hamma har'aatti iyyuu qoraan falaxxuu fi bishaan waraabduu ta'anii hafan.
Iya. Adonii-Zedeq mootiin Yerusaalem, Iyaasuun Aayin fudhatee, raawwatee akka isa balleesse, wanta inni Yerikoo fi mootii Yerikoo, Aayii fi mootii Aayi godhe, warri Giibe'onis Israa'elootaa wajjin kakuudhaan walii galanii isaan gidduu akka jiraatan yommuu dhaga'e,
mandarri Giibe'on mandaroota mootota sanaa keessaa mandara guddaa mandara Aayi caaltu turte; namoonni ishees lolatti beekamoo turan; kanaaf Adonii-Zedeqii fi namoonni isaa guddaa in sodaatan.
Yommus Adonii-Zedeq mootiin Yerusaalem Hohaam mootii Kebroonitti, Fiiraam mootii Yarmuutitti, Yaafii'aa mootii Laakiishitti, Deebir mootii Egloonitti ergee,
"Warri Giibe'on Iyaasuu fi Israa'elootaa wajjin nagaa waan buusaniif, kottaa isaan rukutuu na gargaaraa!" jedhe.
Kana irratti mootiin Yerusaalem, mootiin Kebroon, mootiin Yarmuut, mootiin Laakiish, mootiin Egloon, mootonni Amoorotaa kun shanan walitti qabamanii, loltuu isaanii hundumaa wajjin ol ba'anii Giibe'onitti naanna'anii buufatanii lola itti in kaasan.
Warri Giibe'on immoo Giilgal iddoo buufataatti Iyaasuutti erganii, "Garboota kee irraa harka kee hin dachaafatin; mootonni Amoorotaa warri biyya gaaraa jiraatan hundinuu nu loluudhaaf nutti dacha'aniiru, dafiitii nu bira ga'ii nu gargaari, nu oolchis!" jedhan.
Kana irratti Iyaasuun loltuu hundumaa fi namoota lolatti beekamoo turan hundumaa wajjin Giilgalii ka'ee ol ba'e.
Waaqayyo yommus Iyaasuudhaan, "Ani harka kee keessa isaan buuseeraatii isaan hin sodaatin! Isaan keessaa namni tokko illee si dura dhaabachuu hin danda'u" jedhe.
Iyaasuun Giilgalii ka'ee halkan guutuu adeemee, dingata isaan irra ba'e.
Waaqayyos fuula warra Israa'el duraa gara itti goran akka isaan wallaalan in godhe; namoonni Israa'el Giibe'onitti guddaa isaan rukutanii madeessanii, karaa Bet-Horoonitti ol ba'u irra ari'anii duukaa bu'anii hamma mandara Aazeqaa fi mandara Maqedaatti isaan in rukutan.
Isaan Bet-Horoonii hamma Azeqaatti warra Israa'el duraa irraan-gadee utuu baqatanii Waaqayyo waaqa keessaa dhagaa cabbii gurguddaa isaa isaanitti in roobse; isaanis in dudu'an; warra Israa'eloonni billaadhaan ajjeesan irra, warra dhagaa cabbiitiin du'antu caala ture.
Gaafa Waaqayyo Amoorota harka Israa'elootaa keessa buuse, Iyaasuun Waaqayyoo wajjin dubbatee utuu Israa'eloonni ilaalanii immoo, "Ati yaa biiftuu nana, Giibe'on gubbaa, atis yaa ji'a nana, dachaa Ayalon irra dhaabadhu!" jedhe.
Sabni hamma diinota isaa ijaa ba'utti, biiftuun achii hin sochoone, ji'is in dhaabate. Kun macaafa warra qajeelotaa isa "Yaashaar" jedhamu keessatti caafamee jira mitii ree? Biiftuun guyyaa sana guutuu bantii waaqaa walakkaa dhaabachaa turte malee, lixuudhaaf hin ariifanne.
Gaafas Waaqayyo Israa'eliif waan loleef, guyyaan Waaqayyo itti namaaf dhaga'e akkasii isa dura yookiis isa booddee hin turre.
Ergasii Iyaasuun warra Israa'el hundumaa wajjin Giilgal iddoo buufataatti in deebi'e.
Mootonni sun shanan baqatanii Maqedaatti holqa tokko keessa in dhokatan.
Iyaasuutti, "Mootonni kun shanan Maqedaatti holqa keessa dhokatanii argamaniiru" jedhamee yommuu himame,
Iyaasuun immoo, "Dhagaa guddaa afaan holqichaatti gangalchaatii namoota eegan itti godhaa!
Isin garuu achi hin dhaabatinaa, diinota keessan ari'aatii karaa dugda duubaa isaan rukutaa! Waaqayyo gooftaan keessan harka keessan keessa waan isaan buuseef, mandaroota isaaniitti akka isaan galan hin godhinaa!" jedhe.
Yommus Iyaasuu fi Israa'eloonni hamma isaan raawwatanii mo'amanitti rukuttaa guddaadhaan erga isaan balleessanii booddee, isaan keessaa warri hafan muraasi immoo gara mandaroota masaraa qabanitti jalaa in baqatan.
Namoonni Israa'el hundinuu garuu nagaadhaan Maqedaa iddoo buufata Iyaasuutti in deebi'an; yeroo sanas namni tokko illee Israa'eloota irratti waan hamaa hin dubbanne.
Iyaasuun ergasii, "Balbala holqichaa banaa, mootota shanan sanas achi keessaa gad baasaatii anatti fidaa!" jedhe.
Isaan yommus mootii Yerusaalem, mootii Kebroon, mootii Yarmuut, mootii Laakiish, mootii Egloonis mootota shanan sana holqicha keessaa gad baasanii gara isaa in fidan.
Yommuu isaan mootota sana gara Iyaasuutti fidan, Iyaasuun namoota Israa'el hundumaa walitti waamee, ajajjuu waraanaa warra isaa wajjin turaniin, "As kottaatii miilla keessaniin morma mootota kanaa irra ejjedhaa!" jedhe; kana irratti isaan dhufanii miilla isaaniitiin morma mootota sanaa irra in ejjetan.
Iyaasuun namoota isaatiin, "Diinota keessan warra isin loluuf jirtan hundumaa Waaqayyo akkasuma in godha; kanaaf isin hin sodaatinaa, hin na'inaa, cimaa ija jabaadhaas!" jedhe.
Iyaasuun kana booddee mootota sana ajjeesee mukkeetii shanitti rarraase; isaan hamma galgalaatti mukkeetiitti rarraafamanii turan.
Akkuma biiftuun lixxeen Iyaasuun jara mukkeetii sana irraa akka gad buusan namoota in abboome; isaanis gad isaan buusanii, holqa isaan duraan keessa dhokatanii turanitti daddarbatan; dhagaa gurguddaas afaan holqichaa irra in kaa'an; dhagoonni sunis hamma har'aatti iyyuu achi jiru.
Iyaasuun gaafasuma Maqedaa qabatee, namoota mandarattii keessa jiraatanii fi mootii ishee billaadhaan in rukute; wanta achi keessa jiraatu hundumaa raawwatee balleesse malee, tokko illee hin hambifne; inni mootii Yerikoo akkuma godhe, mootii Maqedaas akkasuma in godhe.
Kana booddee Iyaasuu fi Israa'eloonni hundinuu mandara Maqedaatii gara mandara Liibnaatti darbanii mandarattii in rukutan.
Waaqayyo immoo namoota mandarattii keessa jiraatanii fi mootii ishee harka warra Israa'el keessa in buuse; wanta achi keessa jiraatu hundumaas billaadhaan rukute malee, wanta tokko illee achitti hin hambifne; inni mootii Yerikoo akkuma godhe, mootii Liibnaas akkasuma in godhe.
Ergasiis Iyaasuu fi Israa'eloonni hundinuu Liibnaadhaa Laakiishitti darbanii, naanna'anii buufatanii lola itti in kaasan;
Laakiishinis immoo Waaqayyo harka Israa'elootaa keessa buuse; isaan gaafa guyyaa lammaffaa ishee qabatanii, akkuma mandara Liibnaa godhan namoota mandarattii keessa jiraatan hundumaa billaadhaan in rukutan.
Yommus Horaam mootiin Gezer Laakiishin gargaaruudhaaf ol ba'e; Iyaasuun garuu nama tokko illee utuu hin hambisin, isa namoota isaas in rukute.
Kana booddees Iyaasuu fi Israa'eloonni hundinuu mandara Laakiishii ka'anii mandara Egloonitti darbanii, naanna'anii buufatanii lola itti kaasan.
Iyaasuun gaafasuma mandarattii qabatee, akkuma mandara Laakiish godhe; namoota ishee keessa jiraatan hundumaa billaadhaan rukutee, raawwatee in balleesse.
Ergasii immoo Iyaasuu fi Israa'eloonni hundinuu Egloonii ka'anii mandara Kebroonitti ol ba'anii lola itti in kaasan.
Innis mandarattii qabatee, akkuma mandara Egloon godhe namoota ishee keessa jiraatan, mootii isaanii fi gandeen isaanii warra isaan keessa jiraatan hundumaas tokko illee utuu hin hambisin billaadhaan rukutee, raawwatee isaan in balleesse.
Kana booddees Iyaasuu fi Israa'eloonni hundinuu gara mandara Deebiritti deebi'anii lola itti in kaasan.
Isaan mandarattii, mootii ishee fi gandeen ishee hundumaa qabatanii, akkuma Liibnaa fi Kebroonin, mootota isaaniis godhan akkasuma Deebirii fi namoota ishee keessa jiraatan hundumaa tokko illee utuu hin hambisin mootii ishees billaadhaan rukutanii raawwatanii in balleessan.
Iyaasuun yommus biyya gaaraa, biyya dachaa, biyya gara mirgaa, biyya gaara jalaa guutummaatti mootota isaanii wajjin in rukute; akkuma Waaqayyo gooftaan inni kan Israa'el isa abboometti waanuma hafuura baafatu hundumaa rukutee, tokko illee utuu hin hambisin raawwatee in balleesse.
Iyaasuun Qaadesh-Barne'aadhaa hamma Gaazaatti, biyya Gooshen hundumaas hamma Giibe'onitti in rukute.
Waaqayyo gooftaan inni kan Israa'el isaaniif waan loleef, Iyaasuun al tokkotti mootota kana hundumaa biyya isaanii wajjin qabachuu danda'e.
Kana booddee Iyaasuun Israa'eloota hundumaa wajjin Giilgal iddoo buufataatti in deebi'e.
Iya. Yaabiin mootiin Hazoor kana yommuu dhaga'e, Yobaab mootii Maadonitti akkasuma immoo mootota Shimroonii fi Akshaafitti,
mootota warra gara bitaa biyya gaaraa irra, Arabaayi keessa, mandara Keneroot irraa gara mirgaa, gara lixa-biiftuutiin immoo warra dachaa keessaa fi gaara Door irra jiranitti dhaamsa erge.
Akkasumas Kana'aanota warra gara ba'a-biiftuu fi gara lixa-biiftuu jiranitti, biyya gaaraatti immoo Amoorotatti, Hiiwotatti, Pheriizotatti, Yibusootatti, Hiiwota warra biyya Miisphaa keessa tulluu Hermoon jala jiraatanittis dhaamsa in erge.
Yommus isaan loltoota isaanii warra akka cirracha galaana qarqaraa baay'atan hundumaa, fardeenii fi konkolaattota baay'ee wajjin in ba'an.
Mootonni kun hundinuu humna waraanaa isaanii walitti dabalatanii Israa'elin loluudhaaf dhufanii bishaan Merom bira in buufatan.
Waaqayyo yommus Iyaasuudhaan, "Ati isaan hin sodaatin! Ani bor yowwana hunduma isaanii harka kee keessa nan buusa, akka isaan Israa'eloota duratti madaa'anii kukkufanis nan godha; fardeen isaanii morgaa kutii naafisi, konkolaattota isaaniis ibiddaan gubi!" jedhe.
Kana booddee Iyaasuun loltoota isaa hundumaa wajjin dingata bishaan Merom biratti irra ba'ee isaan in rukute.
Waaqayyos immoo harka warra Israa'el keessa isaan in buuse; Israa'eloonnis isaan rukutanii hamma Sidoon guddichaatti, hamma Misrefot-Maayimitti, karaa ba'a-biiftuutiin immoo hamma dachaa Miisphaatti duukaa bu'anii in ari'an; isaan keessaas nama tokko illee utuu hin hambisin hunduma isaanii in rukutan.
Iyaasuun akkuma Waaqayyo isa abboome in godhe; morgaa fardeen isaanii kukkutee naafisee, konkolaattota isaaniis ibiddaan in gube.
Iyaasuun yeroo sana deebi'ee mandara Hazoor qabatee, mootii ishees billaadhaan in ajjeese; Hazoor dur mootummoota sana hundumaaf mataa turte.
Isaan yommus warra mandara sana keessa jiraatan hundumaa billaadhaan in ajjeesan; waan hafuura baafatu tokko illee utuu hin hambisin raawwatanii in balleessan; Hazoorinis ibiddaan in guban.
Iyaasuun mandaroota moototaa kanaa fi mootota kana hundumaa qabatee, akkuma Museen garbichi Waaqayyo abboomee ture billaadhaan isaan rukutee raawwatee isaan in balleesse.
